m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
169.0876	17.19	1088	0.0	inf	False	False	1		
169.0972	0.935	1893	0.0	inf	False	False	1		
169.1217	13.192	1225	0.0	inf	False	False	1		
169.1218	17.115	1027	0.0	inf	False	False	1		
169.1223	12.956	1222	0.0	inf	False	False	1		
169.1223	2.106	1887	0.84	99.0	False	False	1		
169.1229	1.319	2189	0.57	0.0	False	False	1		
169.1232	13.051	1244	0.0	inf	False	False	1		
169.1328	2.541	1003	0.0	inf	False	False	1		
169.1592	12.956	1051	0.0	inf	False	False	1		
169.16	15.618	1098	0.0	inf	False	False	1		
170.1176	0.947	1903	0.0	inf	False	False	1		
170.1188	7.897	1097	0.0	inf	False	False	1		
170.1529	3.353	1219	0.0	inf	False	False	1		
170.1538	15.358	1075	0.0	inf	False	False	1		
170.1541	15.5	1147	0.0	inf	False	False	1		
170.1546	15.878	1136	0.0	inf	False	False	1		
170.1548	2.106	2565	0.0	inf	False	False	1		
170.1551	15.735	1272	0.0	inf	False	False	1		
170.1552	16.238	1085	0.0	inf	False	False	1		
171.0999	13.429	1034	0.0	inf	False	False	1		
171.1019	1.131	1102	0.0	inf	False	False	1		
171.1192	8.228	1056	0.66	99.0	False	False	1		
171.1194	11.883	1132	0.69	99.0	False	False	1		
171.1201	15.676	1224	0.35	2.0	False	False	1		
171.1201	3.825	1018	0.0	inf	False	False	1		
171.1204	18.189	1152	0.0	inf	False	False	1		
171.121	16.267	1058	0.0	inf	False	False	1		
171.1213	16.799	1016	0.0	inf	False	False	1		
171.1216	0.513	1436	0.0	inf	False	False	1		
171.1223	13.24	1056	0.0	inf	False	False	1		
171.1371	3.306	2339	0.31	3.0	False	False	1		
171.1372	6.574	1892	0.0	inf	False	False	1		
171.1373	2.821	2388	0.73	2.33	False	False	1		
171.1376	13.747	3534	0.23	0.0	False	False	1		
171.1377	0.753	1881	0.82	1.0	False	False	1		
171.1378	4.582	2813	0.59	2.0	False	False	1		
171.1378	4.203	3373	0.38	0.25	False	False	1		
171.1378	18.86	2928	0.16	8.0	False	False	1		
171.1379	1.085	19064	0.76	2.5	False	False	1		
171.1379	1.686	6312	0.99	99.0	False	False	1		
171.1379	0.629	1777	0.0	inf	False	False	1		
171.1379	5.57	1895	0.0	inf	False	False	1		
171.1379	0.88	2093	0.0	inf	False	False	1		
171.138	3.495	2203	0.0	inf	False	False	1		
171.1381	0.413	1853	0.0	inf	False	False	1		
171.1382	2.541	2968	0.0	inf	False	False	1		
171.1382	1.459	2056	0.0	inf	False	False	1		
171.1383	0.047	2310	0.0	inf	False	False	1		
171.1383	2.106	1663	0.0	inf	False	False	1		
171.1384	0.336	2093	0.0	inf	False	False	1		
171.1384	3.731	3186	0.81	0.33	False	False	1		
171.1385	0.571	1807	0.23	2.0	False	False	1		
171.1385	4.865	2359	0.0	inf	False	False	1		
171.1385	0.155	2328	0.0	inf	False	False	1		
171.1385	3.967	2343	0.52	0.25	False	False	1		
171.1386	0.26	1529	0.0	inf	False	False	1		
171.1386	4.44	2036	0.45	0.25	False	False	1		
171.1389	2.247	2148	0.0	inf	False	False	1		
171.1389	3.164	2430	0.0	inf	False	False	1		
171.1392	2.435	3045	0.93	0.67	False	False	1		
171.1394	0.225	1521	0.0	inf	False	False	1		
171.1394	0.513	2302	0.0	inf	False	False	1		
