m/z	RT
904.897	14.791
763.5982	7.101
722.6288	12.767
761.6454	8.765
680.5284	5.897
882.8298	14.43
832.6191	3.162
869.744	13.411
860.6727	5.094
1449.144	7.372
890.7733	12.445
700.6162	12.537
1317.2681	14.619
816.5759	3.162
150.0269	2.603
1368.1457	12.577
1410.4121	11.872
914.7826	12.913
344.3214	1.654
827.601	4.577
772.6307	5.371
702.2147	2.562
907.8444	14.802
863.7827	14.127
879.8834	14.759
835.6682	11.073
777.235	3.268
699.5613	6.151
862.6173	5.113
859.7596	13.737
618.624	9.993
890.8022	14.17
1291.1966	14.501
787.6651	7.527
827.7871	14.126
747.611	8.078
790.576	5.835
369.377	12.533
696.5486	6.124
1004.635	6.263
811.7298	8.86
1150.3269	8.387
680.537	6.701
820.7308	13.509
813.7227	11.07
1264.3745	9.657
813.6808	7.779
783.5742	5.375
487.3467	1.674
902.7476	11.977
813.7461	11.074
783.7065	14.087
391.3103	2.609
804.5528	5.626
582.5516	5.897
617.6414	9.758
846.7928	13.824
672.6906	14.912
842.5921	4.482
828.6121	4.487
912.7662	12.628
1369.1496	12.577
1190.3546	8.387
801.5845	3.586
837.6211	7.651
669.6106	13.215
878.8706	14.533
796.5864	6.149
424.3668	1.813
838.5607	3.069
857.863	14.467
1204.0428	6.745
796.6232	7.605
752.5603	8.078
816.765	12.063
391.3286	2.603
279.2324	12.618
727.6696	13.505
826.6445	6.52
886.7511	12.252
1296.2956	14.912
468.3091	1.318
150.0343	2.631
785.717	14.083
857.8863	14.467
783.6388	7.286
967.8896	15.794
725.5223	2.882
731.543	4.769
883.7743	14.791
672.7124	14.884
618.645	9.993
857.8745	14.463
772.6232	8.434
724.6164	12.439
817.712	13.182
903.8601	14.608
790.6934	13.167
880.7615	12.678
838.5607	2.149
800.6737	9.501
801.7462	11.674
772.6534	5.371
747.6414	12.532
956.7932	12.725
934.8819	15.394
725.5581	5.835
814.7485	10.593
1380.2477	12.537
842.5922	3.962
811.6652	7.058
707.4926	6.678
814.7267	10.654
1386.1481	12.532
929.7652	12.2
860.7744	14.426
832.7407	13.692
