m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
872.4583	2.375	M+0	False	False		2158	2639
566.5717	11.377	M+0	False	False		2638	2656
713.6676	12.885	M+1	True	False		1921	2637
656.5821	13.02	M+0	False	False		2635	2517
242.1215	0.238	M+0	False	False		3017	2632
634.4529	19.287	M+0	False	False		2631	2807
723.5096	14.648	M+0	False	False		2541	2631
752.5848	10.078	M+0	False	False		2221	2630
821.536	4.144	M+2	True	False		2456	2628
805.0168	7.01	M+0	False	False		2294	2627
1071.8787	13.115	M+0	False	False		2625	2354
317.3258	16.326	M+0	False	False		2625	1832
754.706	13.428	M+0	False	False		1314	2623
1363.0314	12.991	M+2	True	False		2460	2623
546.401	19.44	M+0	False	False		2622	2429
596.5952	13.314	M+0	False	False		2622	1336
902.83	15.61	M+0	False	False		2621	2616
708.4961	11.207	M+0	False	False		2390	2621
614.7007	12.246	M+0	False	False		2618	1845
432.2807	0.783	M+0	False	False		2618	2376
929.8278	15.583	M+0	False	False		2383	2618
537.5357	10.779	M+0	False	False		2615	3758
679.482	13.267	M+0	False	False		2615	2549
656.5842	12.789	M+0	False	False		2124	2614
201.0774	19.855	M+0	False	False		3547	2611
666.4979	4.041	M+0	False	False		2611	2661
724.5147	8.199	M+0	False	False		2093	2611
735.6412	13.517	M+0	False	False		2610	2452
432.281	18.162	M+0	False	False		2285	2610
709.5326	15.386	M+0	False	False		2090	2610
1352.2092	14.707	M+0	False	False		2079	2609
711.6292	12.592	M+0	False	False		2608	2122
813.5272	4.924	M+0	False	False		2214	2608
1499.4331	15.702	M+0	False	False		2608	0
727.6746	13.804	M+0	False	False		2607	2403
399.2506	13.755	M+0	False	False		2607	2666
550.6288	6.474	M+0	False	False		2569	2607
593.6024	15.129	M+0	False	False		2607	2454
816.6439	3.868	M+0	False	False		2606	2295
757.5394	8.45	M+0	False	False		1649	2605
830.5148	4.144	M+0	False	False		2831	2605
959.9659	14.807	M+0	False	False		2603	2165
665.67	12.316	M+0	False	False		3504	2602
678.4964	16.173	M+0	False	False		1618	2602
822.5301	3.941	M+2	True	False		2602	2174
350.255	4.946	M+0	False	False		2601	2160
461.3607	17.378	M+0	False	False		2794	2601
897.6998	13.363	M+0	False	False		2601	1913
697.5705	6.386	M+0	False	False		0	2600
1369.391	12.746	M+1	True	False		2599	4637
839.5018	4.321	M+0	False	False		2599	2706
992.8301	12.187	M+0	False	False		2599	2460
788.6203	13.286	M+0	False	False		2288	2598
669.66	13.712	M+1	True	False		1939	2597
624.629	13.333	M+0	False	False		2484	2597
678.4794	18.436	M+0	False	False		2795	2595
682.4938	9.016	M+0	False	False		1897	2592
923.8451	13.659	M+0	False	False		2591	2590
951.883	15.813	M+3	True	False		2591	2491
186.0858	12.199	M+0	False	False		2591	2528
811.5016	4.685	M+0	False	False		2590	2103
458.3486	12.199	M+0	False	False		2568	2588
854.5833	2.375	M+0	False	False		2494	2588
722.647	12.104	M+2	True	False		2209	2587
1306.2429	15.175	M+0	False	False		0	2587
383.3324	13.759	M+0	False	False		2045	2586
573.4886	6.594	M+0	False	False		2586	2680
977.8462	15.332	M+1	True	False		2585	2166
810.56	15.544	M+0	False	False		3518	2585
768.5417	4.899	M+0	False	False		2584	2159
566.5711	16.284	M+0	False	False		2582	2445
483.2809	1.579	M+0	False	False		2580	2363
962.833	14.652	M+0	False	False		2579	2056
937.3965	2.319	M+1	True	False		2578	1879
962.7841	15.911	M+1	True	False		3176	2577
874.7257	12.837	M+0	False	False		3100	2576
813.3696	5.376	M+0	False	False		2574	2503
1103.9935	13.712	M+0	False	False		1618	2573
161.133	14.554	M+0	False	False		3492	2573
906.7625	15.49	M+0	False	False		2573	2464
923.0266	13.133	M+0	False	False		2787	2573
520.3302	8.084	M+0	False	False		2571	1551
812.0335	4.027	M+0	False	False		1307	2571
838.4958	4.029	M+0	False	False		2571	1871
461.3586	8.161	M+0	False	False		2569	2865
591.4312	16.129	M+0	False	False		2212	2567
956.7623	13.286	M+0	False	False		1627	2566
721.5613	9.935	M+0	False	False		2565	2539
421.2264	11.215	M+0	False	False		2564	1604
547.4028	15.58	M+0	False	False		2562	2604
1280.8646	12.045	M+0	False	False		2403	2561
687.4427	6.462	M+0	False	False		1815	2561
723.5982	14.365	M+2	True	False		2325	2559
818.3718	3.272	M+0	False	False		2559	2932
187.0604	0.633	M+0	False	False		2558	2253
652.6552	12.789	M+1	True	False		2660	2558
955.8125	15.975	M+0	False	False		2500	2558
338.3418	11.567	M+0	False	False		2557	3084
461.361	17.61	M+0	False	False		2653	2557
1325.2134	15.927	M+0	False	False		2556	2611
368.4264	13.522	M+0	False	False		1656	2556
959.967	14.222	M+0	False	False		3049	2556
861.7704	13.901	M+0	False	False		2249	2555
1057.7845	13.133	M+0	False	False		1657	2555
1252.3414	13.085	M+1	True	False		2104	2555
239.1488	6.408	M+0	False	False		2555	1776
966.8636	12.837	M+0	False	False		2046	2553
923.313	12.59	M+2	True	False		2344	2552
265.1759	9.254	M+0	False	False		2551	2453
941.8401	14.507	M+0	False	False		2533	2551
711.6444	14.462	M+0	False	False		2550	3275
801.409	3.158	M+1	True	False		2549	2226
870.7535	15.129	M+0	False	False		2549	2397
702.2159	15.49	M+0	False	False		2548	2104
959.9673	16.434	M+0	False	False		2454	2548
886.547	2.281	M+0	False	False		2095	2547
790.6336	15.442	M+0	False	False		2547	2013
832.507	3.101	M+1	True	False		2546	2229
872.7734	12.59	M+0	False	False		2126	2546
475.4126	13.068	M+0	False	False		2545	2295
473.3409	2.328	M+0	False	False		2381	2542
1153.0435	13.239	M+0	False	False		0	2541
549.5074	13.806	M+0	False	False		3148	2540
780.5437	11.215	M+1	True	False		2540	1942
664.4586	16.211	M+1	True	False		2539	2298
527.9051	3.122	M+0	False	False		3739	2537
799.411	3.147	M+0	False	False		2537	3432
859.2506	10.685	M+0	False	False		2537	1786
317.3232	17.61	M+0	False	False		2352	2537
702.2146	15.881	M+0	False	False		2304	2537
757.6506	12.64	M+0	False	False		2537	2331
933.7736	13.286	M+0	False	False		3149	2537
919.7139	16.063	M+0	False	False		2535	1874
888.4984	2.887	M+0	False	False		2142	2534
613.5651	9.475	M+0	False	False		2532	1747
854.476	3.228	M+0	False	False		2185	2532
1272.9078	12.104	M+0	False	False		1928	2532
708.4982	9.777	M+0	False	False		2131	2531
770.505	2.281	M+0	False	False		2393	2529
1005.5686	1.673	M+0	False	False		2529	1951
810.5606	8.031	M+0	False	False		2461	2529
1220.342	10.035	M+0	False	False		1489	2528
1132.314	13.381	M+0	False	False		1464	2528
883.7371	13.038	M+0	False	False		1735	2527
284.3324	7.616	M+0	False	False		1593	2523
461.3616	18.37	M+0	False	False		2523	2249
927.8115	15.922	M+0	False	False		2605	2523
897.6981	13.133	M+0	False	False		2344	2522
711.6848	15.129	M+0	False	False		2519	2338
872.7902	14.557	M+0	False	False		2519	2608
532.4094	4.957	M+0	False	False		2519	2366
553.3879	8.452	M+0	False	False		2519	3105
1389.1741	15.398	M+0	False	False		1933	2519
553.3906	9.107	M+0	False	False		2516	3805
943.9892	8.356	M+0	False	False		1784	2516
904.7476	15.975	M+0	False	False		2872	2514
703.6248	14.554	M+0	False	False		3207	2513
1295.547	11.318	M+0	False	False		2511	0
284.3326	8.356	M+0	False	False		2415	2511
461.3608	10.159	M+0	False	False		2511	2024
921.5372	1.673	M+0	False	False		2508	2213
987.8399	15.583	M+0	False	False		2239	2507
885.7662	13.57	M+1	True	False		2558	2506
258.1104	15.386	M+0	False	False		2186	2506
697.5582	0.736	M+0	False	False		0	2506
869.6171	12.805	M+0	False	False		2505	2338
502.3761	0.337	M+0	False	False		1871	2504
701.402	4.858	M+0	False	False		2504	2058
949.92	15.813	M+0	False	False		2502	2518
615.4568	2.328	M+0	False	False		1302	2502
690.3776	4.144	M+0	False	False		2753	2497
1354.2059	15.881	M+0	False	False		0	2497
568.5686	12.636	M+3	True	False		2699	2497
701.4114	8.132	M+0	False	False		2497	2229
945.8516	14.554	M+2	True	False		2273	2496
901.7383	15.327	M+0	False	False		2528	2494
887.4502	3.054	M+0	False	False		2493	2170
615.455	3.727	M+0	False	False		2493	2753
679.4834	12.592	M+0	False	False		2493	2345
790.6734	12.092	M+0	False	False		2539	2493
937.8573	13.665	M+0	False	False		2430	2492
721.5627	11.008	M+0	False	False		2492	2394
898.852	14.459	M+2	True	False		1907	2491
502.3751	0.725	M+0	False	False		1774	2490
678.5077	6.718	M+0	False	False		2489	2364
537.5482	7.955	M+0	False	False		2487	2242
1440.916	12.093	M+0	False	False		2487	2148
843.5187	2.913	M+1	True	False		2487	1318
960.8277	13.804	M+0	False	False		2487	1928
531.406	0.503	M+0	False	False		2485	2358
960.3698	3.272	M+0	False	False		2484	2980
710.5202	13.708	M+3	True	False		2483	2108
769.5412	6.718	M+1	True	False		2483	1536
1450.1586	16.129	M+0	False	False		2776	2482
593.4464	3.24	M+0	False	False		3117	2482
642.628	12.092	M+0	False	False		1920	2481
843.714	12.932	M+0	False	False		1919	2480
381.2985	16.284	M+0	False	False		2479	2269
551.6314	8.245	M+1	True	False		1994	2477
768.5514	4.041	M+0	False	False		2477	2636
546.4084	2.611	M+0	False	False		2870	2476
994.7847	15.176	M+0	False	False		2476	3338
878.8154	15.677	M+0	False	False		1983	2476
809.4438	1.952	M+0	False	False		2475	2135
1048.8159	13.712	M+0	False	False		1935	2475
372.1013	16.246	M+0	False	False		1834	2473
763.6028	8.83	M+0	False	False		2447	2472
1309.3702	12.199	M+0	False	False		2471	0
933.7844	14.32	M+0	False	False		2471	1984
959.9666	15.911	M+0	False	False		3094	2471
1367.4004	12.735	M+0	False	False		2470	2441
722.5071	16.848	M+0	False	False		2470	2011
707.4906	10.057	M+0	False	False		2469	3055
369.4276	12.045	M+0	False	False		2498	2465
650.4767	6.813	M+0	False	False		2465	1437
495.7642	2.366	M+0	False	False		2464	3215
898.8356	13.618	M+2	True	False		3006	2463
935.8258	13.333	M+0	False	False		2614	2461
1272.1543	13.175	M+0	False	False		2461	2510
