m/z	RT
837.5249	4.227
878.5432	1.961
1323.9359	3.505
1412.4104	11.903
721.5091	7.882
596.6378	7.521
455.2284	1.026
668.5264	2.887
1174.8331	13.475
759.2238	8.876
624.6706	9.254
1263.9841	13.333
1206.3162	12.092
669.6156	12.545
492.2132	0.991
688.4177	1.579
627.5846	12.454
1171.3445	12.885
1337.1888	14.604
721.5066	3.68
792.7896	10.503
628.589	12.199
852.5245	1.532
678.4692	4.421
1279.3364	12.363
1133.3156	12.885
408.2636	1.484
785.5177	1.905
437.411	2.96
678.4714	1.867
736.5773	6.963
1286.8618	13.712
1392.4023	13.428
1410.4126	11.903
952.276	12.944
1191.3533	8.356
818.2602	3.24
1196.4369	10.375
518.325	1.255
676.4563	1.913
691.6643	14.038
720.4462	1.217
820.5344	2.226
408.2813	1.493
1338.1939	14.604
1249.3522	13.618
721.5084	8.506
1151.3259	8.403
1320.957	14.938
642.5669	12.454
789.5486	3.054
672.5732	13.428
696.531	2.179
834.515	1.54
682.4881	6.693
1089.0427	15.583
649.5665	12.545
822.5045	2.187
1001.2894	5.988
414.2811	1.587
1205.3172	12.092
1020.1272	14.896
691.5441	13.708
758.5286	5.979
711.6498	13.947
596.5524	2.1
806.5105	3.309
808.5216	3.101
694.4668	1.867
1353.3547	12.542
426.2955	1.72
788.4645	1.821
778.2338	3.228
872.5062	1.626
680.4821	12.199
818.519	1.587
758.7088	5.19
771.577	7.127
413.2743	1.579
412.3909	2.281
1039.923	14.038
386.3794	14.986
1251.3505	13.618
1235.1561	14.707
370.3935	14.938
1320.0333	14.938
667.5137	2.981
857.516	1.813
1282.3527	13.239
1327.2056	15.081
1302.4073	14.896
1204.9053	8.66
708.5775	3.55
1076.3083	7.149
768.4174	4.946
828.5899	10.549
787.6056	7.38
846.5979	2.819
621.5352	11.809
760.5444	7.104
721.509	3.101
931.4946	1.026
548.5046	12.64
803.562	2.981
1095.3248	12.636
550.6298	9.082
1235.8464	4.957
1317.3819	13.239
805.5422	1.626
684.6342	12.454
1278.3345	12.363
1428.373	12.731
718.4659	2.226
1162.8589	7.127
721.507	3.403
1208.4319	10.444
624.5867	2.728
1243.3635	13.038
478.245	0.991
1356.372	13.428
1288.3603	13.712
269.1636	2.659
1286.3616	13.712
1207.4279	10.375
878.758	12.731
1159.8359	5.988
1066.8029	13.192
1246.3632	13.085
1300.3639	11.251
722.5603	6.693
717.4904	2.134
1323.8727	13.806
879.4932	1.729
1026.2945	13.085
1177.8316	13.475
593.6444	11.52
393.7603	1.484
1370.4584	11.903
871.4457	4.877
1322.1102	14.938
367.3373	13.712
1467.4203	13.57
866.5763	1.72
1320.0013	14.896
655.5408	5.308
834.5502	1.867
842.5116	7.173
812.6682	10.33
1272.3235	12.411
421.2899	1.673
654.4889	3.493
1355.3535	12.542
450.7937	1.484
184.0736	10.412
832.2418	10.791
1394.4015	13.428
842.4731	1.961
854.4949	1.681
1022.0208	14.896
722.5455	4.511
796.5275	5.899
622.4087	2.703
1276.1435	12.454
566.6182	9.237
880.2572	12.731
793.6973	10.412
1204.3158	12.104
1140.8222	13.381
721.5084	8.922
817.653	10.594
1427.3737	12.731
842.5153	1.867
689.4796	14.038
933.8656	14.854
1103.8136	13.286
